concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I21,I21,prefix,Acute myocardial infarction,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I22,I22,prefix,Subsequent myocardial infarction,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I23,I23,prefix,Complications following acute myocardial infarction,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I24,I24,prefix,Other acute ischemic heart diseases,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I25,I25,prefix,Chronic ischemic heart disease,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I60,I60,prefix,Nontraumatic subarachnoid hemorrhage,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I61,I61,prefix,Nontraumatic intracerebral hemorrhage,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I62,I62,prefix,Other nontraumatic intracranial hemorrhage,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I63,I63,prefix,Cerebral infarction,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I64,I64,prefix,"Stroke, not specified as hemorrhage or infarction",Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I65,I65,prefix,Occlusion and stenosis of precerebral arteries,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I66,I66,prefix,Occlusion and stenosis of cerebral arteries,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I67,I67,prefix,Other cerebrovascular diseases,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I68,I68,prefix,Cerebrovascular disorders in diseases classified elsewhere,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I69,I69,prefix,Sequelae of cerebrovascular disease,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I70,I70,prefix,Atherosclerosis,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I73,I73,prefix,Other peripheral vascular diseases,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
cardiovascular_or_ascvd,Cardiovascular disease / ASCVD proxy,ICD10CM,I74,I74,prefix,Arterial embolism and thrombosis,Broad CVD history; refine for specific endpoints.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,I12,I12,prefix,Hypertensive chronic kidney disease,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,I13,I13,prefix,Hypertensive heart and chronic kidney disease,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,N18,N18,prefix,Chronic kidney disease,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,N19,N19,prefix,Unspecified kidney failure,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,Z940,Z940,exact,Kidney transplant status,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,Z992,Z992,exact,Dependence on renal dialysis,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
depression_anxiety,Depression and anxiety,ICD10CM,F32,F32,prefix,"Major depressive disorder, single episode",Baseline mental-health comorbidity; consider separating depression and anxiety.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
depression_anxiety,Depression and anxiety,ICD10CM,F33,F33,prefix,"Major depressive disorder, recurrent",Baseline mental-health comorbidity; consider separating depression and anxiety.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
depression_anxiety,Depression and anxiety,ICD10CM,F341,F341,exact,Dysthymic disorder,Baseline mental-health comorbidity; consider separating depression and anxiety.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
depression_anxiety,Depression and anxiety,ICD10CM,F40,F40,prefix,Phobic anxiety disorders,Baseline mental-health comorbidity; consider separating depression and anxiety.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
depression_anxiety,Depression and anxiety,ICD10CM,F41,F41,prefix,Other anxiety disorders,Baseline mental-health comorbidity; consider separating depression and anxiety.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
depression_anxiety,Depression and anxiety,ICD10CM,F431,F431,prefix,Post-traumatic stress disorder,Baseline mental-health comorbidity; consider separating depression and anxiety.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetes_any,"Diabetes mellitus, any specified type",ICD10CM,E08,E08,prefix,Diabetes mellitus due to underlying condition,Use for broad diabetes history; use type2_diabetes for T2D-specific restriction.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetes_any,"Diabetes mellitus, any specified type",ICD10CM,E09,E09,prefix,Drug or chemical induced diabetes mellitus,Use for broad diabetes history; use type2_diabetes for T2D-specific restriction.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetes_any,"Diabetes mellitus, any specified type",ICD10CM,E10,E10,prefix,Type 1 diabetes mellitus,Use for broad diabetes history; use type2_diabetes for T2D-specific restriction.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetes_any,"Diabetes mellitus, any specified type",ICD10CM,E11,E11,prefix,Type 2 diabetes mellitus,Use for broad diabetes history; use type2_diabetes for T2D-specific restriction.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetes_any,"Diabetes mellitus, any specified type",ICD10CM,E13,E13,prefix,Other specified diabetes mellitus,Use for broad diabetes history; use type2_diabetes for T2D-specific restriction.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E082,E082,prefix,Diabetes due to underlying condition with kidney complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E083,E083,prefix,Diabetes due to underlying condition with ophthalmic complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E084,E084,prefix,Diabetes due to underlying condition with neurological complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E085,E085,prefix,Diabetes due to underlying condition with circulatory complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E086,E086,prefix,Diabetes due to underlying condition with other specified complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E092,E092,prefix,Drug or chemical induced diabetes with kidney complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E093,E093,prefix,Drug or chemical induced diabetes with ophthalmic complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E094,E094,prefix,Drug or chemical induced diabetes with neurological complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E095,E095,prefix,Drug or chemical induced diabetes with circulatory complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E096,E096,prefix,Drug or chemical induced diabetes with other specified complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E102,E102,prefix,Type 1 diabetes with kidney complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E103,E103,prefix,Type 1 diabetes with ophthalmic complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E104,E104,prefix,Type 1 diabetes with neurological complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E105,E105,prefix,Type 1 diabetes with circulatory complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E106,E106,prefix,Type 1 diabetes with other specified complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E112,E112,prefix,Type 2 diabetes with kidney complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E113,E113,prefix,Type 2 diabetes with ophthalmic complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E114,E114,prefix,Type 2 diabetes with neurological complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E115,E115,prefix,Type 2 diabetes with circulatory complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E116,E116,prefix,Type 2 diabetes with other specified complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E132,E132,prefix,Other specified diabetes with kidney complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E133,E133,prefix,Other specified diabetes with ophthalmic complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E134,E134,prefix,Other specified diabetes with neurological complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E135,E135,prefix,Other specified diabetes with circulatory complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E136,E136,prefix,Other specified diabetes with other specified complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
dka,Diabetic ketoacidosis,ICD10CM,E081,E081,prefix,Diabetes due to underlying condition with ketoacidosis,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
dka,Diabetic ketoacidosis,ICD10CM,E091,E091,prefix,Drug or chemical induced diabetes with ketoacidosis,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
dka,Diabetic ketoacidosis,ICD10CM,E101,E101,prefix,Type 1 diabetes with ketoacidosis,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
dka,Diabetic ketoacidosis,ICD10CM,E111,E111,prefix,Type 2 diabetes with ketoacidosis,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
dka,Diabetic ketoacidosis,ICD10CM,E131,E131,prefix,Other specified diabetes with ketoacidosis,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
dyslipidemia,Dyslipidemia / hyperlipidemia,ICD10CM,E78,E78,prefix,Disorders of lipoprotein metabolism and other lipidemias,Baseline comorbidity.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
gallbladder_disease,Gallbladder and biliary disease,ICD10CM,K80,K80,prefix,Cholelithiasis,Monthly safety outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
